state_id,scheme,relative_demand_shift,inventory_to_demand_ratio,capacity_slack_ratio,first_stage_keep,robust_recourse_keep,total_cost_keep,first_stage_reopt,robust_recourse_reopt,reconfiguration_cost,total_cost_reopt,decision_value,relative_decision_value,inventory_change_L1,changed_inventory_pairs,recourse_to_first_stage_ratio,transport_cost_keep,shortage_cost_keep,service_penalty_cost_keep,transport_share_keep,shortage_share_keep,service_share_keep,keep_decomposition_uniqueness_status,reopt_decomposition_status,exact_certification_pass,global_risk_budget_coupling_pass,recourse_identity_error
pichincha-pichincha-context-2-20140106,CURRENT,0.4036410042260616,0.7836761655495503,0.2151357382192482,303942.8920275,404641976678.6842,404642280621.57623,494811.8933673572,503479.4970933335,12067.488582357171,998291.3904606907,404641282330.1858,0.9999975329039049,241349.7716471434,6,1331309.2271362382,268029.621407125,2708610.1207375,404639000038.9421,6.62387089958194e-07,6.693843636712802e-06,0.9999926437692733,NOT_ESTABLISHED_MULTIPLE_STAGE1_OPTIMA_POSSIBLE,NOT_REPORTED_UNIQUENESS_NOT_ESTABLISHED,True,True,0.0
pichincha-pichincha-context-1-20160321,CURRENT,-0.10999448187410231,1.2359473931311031,0.31965400420164686,640965.1406245,567102.119135,1208067.2597595002,567224.6014681298,567102.119135,3881.0810082300054,1134326.7206031298,73740.53915637033,0.06104009405159317,77621.6201646001,6,0.8847628103183048,567102.119135,0.0,0.0,1.0,0.0,0.0,NOT_ESTABLISHED_MULTIPLE_STAGE1_OPTIMA_POSSIBLE,NOT_REPORTED_UNIQUENESS_NOT_ESTABLISHED,True,True,0.0
pichincha-pichincha-context-2-20160502,CURRENT,-0.032624480933063076,1.1370972061201048,0.33543112216812276,559066.4515717501,550868.9285727501,1109935.3801445002,532011.0760232017,528575.8007562507,1856.1969375317153,1060586.8767794524,49348.50336504774,0.04446069946758807,37123.938750634305,5,0.9853371223117509,518755.234773875,32113.69379887506,0.0,0.9417035666141514,0.0582964333858485,0.0,NOT_ESTABLISHED_MULTIPLE_STAGE1_OPTIMA_POSSIBLE,NOT_REPORTED_UNIQUENESS_NOT_ESTABLISHED,True,True,-1.1641532182693481e-10
guayas-guayas-context-2-20170109,CURRENT,-0.18651672084029441,1.352209723519154,0.4627296418121496,302209.3520695,291666.27745000005,593875.6295195001,259990.27716731763,291666.27745000017,2222.056573799073,551656.5546173179,42219.07490218221,0.07109076851047301,44441.131475981456,6,0.9651133409760418,291666.27745000005,0.0,0.0,1.0,0.0,0.0,NOT_ESTABLISHED_MULTIPLE_STAGE1_OPTIMA_POSSIBLE,NOT_REPORTED_UNIQUENESS_NOT_ESTABLISHED,True,True,-5.820766091346741e-11
guayas-guayas-context-2-20170501,CURRENT,0.07093520567195048,1.0271396384899054,0.2853145470453483,285641.97632625,5881350269.662726,5881635911.639052,299992.0334943857,336813.15717,824.8015300523736,636805.1906643857,5880999106.448388,0.9998917299200033,16496.03060104747,5,20589.936903899794,323296.38347895,133835.46544999973,5880893137.813797,5.496975501469152e-05,2.275590796561666e-05,0.9999222743370196,NOT_ESTABLISHED_MULTIPLE_STAGE1_OPTIMA_POSSIBLE,NOT_REPORTED_UNIQUENESS_NOT_ESTABLISHED,True,True,5.820766091346741e-11
